key,symbol,ex_date,rec_date,type,factor,amount,purpose,source,hash,orig_ex_date
ELECTHERM,ELECTHERM,1996-09-11,,DIVIDEND,,7.5,Dividend -7.5%,seed,66f2643222588fd1,1996-09-11
GANESHHOU,GANESHHOU,1997-08-07,,DIVIDEND,,8.0,Dividend - 8%,seed,4b9a31d9f18c257c,1997-08-07
CREST,CREST,1997-08-27,,DIVIDEND,,10.0,Agm/Dividend - 10%,seed,9bdf5b0eef31b4d7,1997-08-27
CREST,CREST,1998-09-02,,DIVIDEND,,5.0,Agm/Div-5%               Div Rate Revised,seed,9355a0e71fc226aa,1998-09-02
WSI,WSI,1998-11-25,,DIVIDEND,,,Agm/Dividend - Nil       Purpose Revised,seed,24518d5184e8deff,1998-11-25
EIHAHOTELS,EIHAHOTELS,1999-05-26,,DIVIDEND,,20.0,Agm / Dividend - 20%     Purpose Revised,seed,73f999b7fb540b29,1999-05-26
BBL,BBL,1999-06-23,,DIVIDEND,,10.0,Dividend - 10%           Purpose Revised,seed,fd27b5f53f81f71c,1999-06-23
ADVANIHOTR,ADVANIHOTR,1999-08-25,,DIVIDEND,,5.0,Dividend - 5%,seed,c654025100c3b3d8,1999-08-25
WENDT,WENDT,2000-06-21,,DIVIDEND,,15.0,Div-15%/Agm,seed,3c762e70b5fdb1b1,2000-06-21
ALKYLAMINE,ALKYLAMINE,2000-06-28,,DIVIDEND,,,Agm/Dividend-Nil,seed,3d6f8566b1c037a6,2000-06-28
BANCOINDIA,BANCOINDIA,2000-06-28,,DIVIDEND,,10.0,Div-10%/Agm,seed,ce14fb27fe058f9b,2000-06-28
SIYSIL,SIYSIL,2000-06-28,,DIVIDEND,,,Agm/Dividend-Nil,seed,05fa53b112e20a9e,2000-06-28
BBL,BBL,2000-07-12,,DIVIDEND,,,Dividend-Nil             Purpose Revised,seed,a7d0b45c56ef67e6,2000-07-12
DYNAMATECH,DYNAMATECH,2000-07-19,,DIVIDEND,,10.0,Agm/Dividend-10%         Purpose Revised,seed,3fe52a40a0d176a8,2000-07-19
PUNJABCHEM,PUNJABCHEM,2000-07-19,,DIVIDEND,,15.0,Agm/Dividend-15%,seed,b80f00c87a2d5197,2000-07-19
ELECON,ELECON,2000-08-09,,DIVIDEND,,18.0,Dividend-18%,seed,3af30da443b76153,2000-08-09
ADVANIHOTR,ADVANIHOTR,2000-08-23,,DIVIDEND,,5.0,Agm/Dividend-5%          Bc End Date Rev/Purpose Revised,seed,74d5daea27c4b4b4,2000-08-23
ANSALAPI,ANSALAPI,2000-08-23,,DIVIDEND,,10.0,Agm/Dividend-10%         Purpose Revised/Bc End Date Revised,seed,77fc4353b21500a5,2000-08-23
GUJAPOLLO,GUJAPOLLO,2000-08-23,,DIVIDEND,,25.0,Agm/Dividend-25%,seed,7110b6f9a900efb0,2000-08-23
HINDZINC,HINDZINC,2001-07-02,,DIVIDEND,,12.5,Agm/Dividend-12.5%       Purpose Revised,seed,e93bbe997084094f,2001-07-02
NEULANDLAB,NEULANDLAB,2001-07-02,,DIVIDEND,,15.0,Dividend-15%             Purpose Revised,seed,791a5b04a12cd332,2001-07-02
WENDT,WENDT,2001-07-02,,DIVIDEND,,100.0,Agm/Dividend-100%        Book Closure Date Revised,seed,0c3f3a4b1547d3be,2001-07-02
BANCOINDIA,BANCOINDIA,2001-07-04,,DIVIDEND,,30.0,Agm/Dividend-30%,seed,962e1d8a267f529f,2001-07-04
DECCANCE,DECCANCE,2001-07-13,,DIVIDEND,,25.0,Agm/Dividend-25%,seed,52b382cc3f12acc5,2001-07-13
MMFL,MMFL,2001-07-16,,DIVIDEND,,40.0,Agm/Dividend-40%,seed,077f4e90bece6280,2001-07-16
TVSSRICHAK,TVSSRICHAK,2001-07-20,,DIVIDEND,,35.0,Agm/Dividend-35%         Purpose Revised,seed,414ec4efcae84d1b,2001-07-20
SIYSIL,SIYSIL,2001-07-30,,DIVIDEND,,35.0,Agm/Dividend-35%,seed,c84671bc03ef9dc2,2001-07-30
PRECOT,PRECOT,2001-08-06,,DIVIDEND,,30.0,Agm/Dividend-30%         Purpose Revised,seed,46a517248b68915f,2001-08-06
GARFIBRES,GARFIBRES,2001-08-20,,DIVIDEND,,20.0,Agm/Dividend-20%         Bc End Date Revised/Purpose Revised,seed,f60fd3cc50842ff0,2001-08-20
GUJAPOLLO,GUJAPOLLO,2001-08-30,,DIVIDEND,,25.0,Agm/Dividend-25%,seed,d44b5c777a7b1bec,2001-08-30
PUNJABCHEM,PUNJABCHEM,2001-09-03,,DIVIDEND,,12.5,Agm/Dividend-12.50%,seed,67f1606bbe44cd52,2001-09-03
ICIL,ICIL,2001-09-05,,DIVIDEND,,5.0,Agm/Dividend-5%          Purpose Revised,seed,c584cb405e5de4c3,2001-09-05
DYNAMATECH,DYNAMATECH,2001-09-11,,DIVIDEND,,15.0,Dividend-15%             Purpose Revised,seed,7fa6cc2b0e1637e3,2001-09-11
STERTOOLS,STERTOOLS,2001-09-13,,DIVIDEND,,30.0,Agm/Dividend-30%,seed,25c82a97a2ef20a0,2001-09-13
NEULANDLAB,NEULANDLAB,2002-07-11,,DIVIDEND,,18.0,Agm/Dividend-18%,seed,12e07eaaec9108d2,2002-07-11
DECCANCE,DECCANCE,2002-07-18,,DIVIDEND,,25.0,Agm/Dividend-25%         Purpose Revised,seed,3c883ab17a5b5c71,2002-07-18
HINDZINC,HINDZINC,2002-08-19,,DIVIDEND,,5.0,Agm/Dividend-5%          Purpose Revised,seed,9837064c52c19fd2,2002-08-19
