_ident,ex_date,type,min,max,count
360ONE,2023-03-02,SPLIT,2.0,4.0,2
AARTECH,2024-08-09,SPLIT,2.0,3.0,2
AHCL,2026-04-24,SPLIT,5.0,10.0,2
ASHOKA,2013-07-03,SPLIT,2.0,3.0,2
AVANTIFEED,2018-06-26,SPLIT,2.0,3.0,2
BAJAJFINSV,2022-09-13,SPLIT,5.0,10.0,2
BAJFINANCE,2016-09-08,SPLIT,5.0,10.0,2
BAJFINANCE,2025-06-16,SPLIT,2.0,10.0,2
BEARDSELL,2017-05-04,SPLIT,5.0,6.0,2
BESTAGRO,2026-01-16,SPLIT,10.0,15.0,2
BHARATRAS,2025-12-12,SPLIT,2.0,4.0,2
BLKASHYAP,2010-09-29,SPLIT,5.0,10.0,2
CCL,2013-08-19,SPLIT,5.0,10.0,2
CGCL,2024-03-05,SPLIT,2.0,4.0,2
COOLCAPS_SME,2025-07-04,SPLIT,5.0,10.0,2
CUPID,2024-04-04,SPLIT,10.0,20.0,2
DANGEE,2022-09-06,SPLIT,10.0,15.0,2
DEEPAKNTR,2014-06-20,SPLIT,5.0,10.0,2
DELPHIFX,2026-02-13,SPLIT,5.0,15.0,2
DHARAN,2021-08-12,SPLIT,2.0,10.0,2
EASEMYTRIP,2022-11-21,SPLIT,2.0,8.0,2
EDELWEISS,2010-08-10,SPLIT,5.0,10.0,2
EIHOTEL,2006-09-12,BONUS,1.5,7.5,2
FCL,2025-10-31,SPLIT,2.0,10.0,2
GICL,2025-10-15,SPLIT,2.0,4.0,2
GLOBE,2021-08-03,SPLIT,5.0,15.0,2
GPIL,2021-10-26,SPLIT,2.0,4.0,2
HINDCOMPOS,2017-05-25,SPLIT,2.0,3.0,2
HINDZINC,2011-03-07,SPLIT,5.0,10.0,2
INDOCO,2012-05-17,BONUS,1.5,7.5,2
JBMA,2014-10-08,SPLIT,2.0,4.0,2
LANDSMILL,2022-09-28,SPLIT,10.0,15.0,2
LINC,2024-12-20,SPLIT,2.0,4.0,2
MAANALU,2023-07-27,SPLIT,2.0,4.0,2
MINDACORP,2015-01-05,SPLIT,5.0,10.0,2
MMTC,2010-07-29,SPLIT,10.0,20.0,2
NATIONALUM,2011-03-15,SPLIT,2.0,4.0,2
NAZARA,2025-09-26,SPLIT,2.0,4.0,2
ONEPOINT,2022-01-18,BONUS,1.5,7.5,2
ONGC,2011-02-08,SPLIT,2.0,4.0,2
RAJTV,2014-03-25,SPLIT,2.0,4.0,2
RAMASTEEL,2016-03-14,SPLIT,2.0,10.0,2
RNBDENIMS,2026-04-02,SPLIT,2.0,3.0,2
SBC,2022-02-22,SPLIT,10.0,20.0,2
SECURKLOUD,2016-10-10,BONUS,1.3333333333333333,2.666666666666667,2
SHRENIK,2020-10-08,SPLIT,2.0,6.0,2
SILVERTUC,2026-03-06,SPLIT,5.0,10.0,2
SUDARSCHEM,2014-09-30,SPLIT,5.0,10.0,2
TECHM,2015-03-19,SPLIT,2.0,4.0,2
TITAN,2011-06-23,SPLIT,10.0,20.0,2
VAISHALI,2024-10-15,SPLIT,5.0,10.0,2
VAKRANGEE,2012-04-12,SPLIT,10.0,20.0,2
VEEDOL,2016-03-16,SPLIT,2.0,4.0,2
VEEDOL,2021-07-26,SPLIT,2.5,5.0,2
VERTOZ,2024-07-05,SPLIT,10.0,20.0,2
