key,ex_date,factor,confidence,label,r_open,r_close,r_median6,prev_close,open,close
3IINFOTECH,2007-08-27,2.0,high,split 2->1,2.037,2.0258,2.004,275.0,135.0,135.75
AARTIIND,2005-02-09,3.0,high,bonus 2:1,2.944,2.8881,2.8524,365.05,124.0,126.4
AARTIIND,2006-01-13,2.0,medium,split 2->1,1.9663,1.9077,1.9288,163.2,83.0,85.55
ABANLOYD,2005-05-04,5.0,medium,split 5->1,4.8656,4.8382,4.8084,1805.15,371.0,373.1
AICHAMP,2008-09-11,2.0,medium,split 2->1,1.9103,1.9851,2.1082,73.45,38.45,37.0
AJRINFRA,2009-10-26,5.0,medium,split 5->1,4.8333,4.8223,5.4179,105.85,21.9,21.95
ALCHEMIST,2007-03-08,1.8,medium,bonus 4:5,1.8374,1.8838,1.949,18.65,10.15,9.9
ALEMBICLTD,2011-04-11,2.8253,low,unsnapped (no simple ratio within tolerance),2.1713,2.8253,3.2847,70.35,32.4,24.9
ALLCARGO,2009-11-19,5.0,medium,split 5->1,4.9535,5.1639,4.4382,906.0,182.9,175.45
ANSALINFRA,2006-05-10,1.9046,low,unsnapped (no simple ratio within tolerance),1.9046,1.9046,1.5293,1630.85,856.25,856.25
ANSALINFRA,2007-04-23,1.9048,low,unsnapped (no simple ratio within tolerance),1.9048,1.9048,1.7287,490.0,257.25,257.25
APOLLOSIND,2008-07-11,10.0,medium,split 10->1,9.1941,10.0592,10.0044,518.55,56.4,51.55
AQUA,2010-10-01,10.0,high,split 10->1,9.855,10.0102,10.6784,635.65,64.5,63.5
ARROWGROUP,2008-01-15,10.0,medium,split 10->1,9.521,9.521,9.392,805.0,84.55,84.55
ASAHIINDIA,2005-09-01,2.0,high,split 2->1,1.9664,2.0156,2.1432,161.05,81.9,79.9
ASHAPURMIN,2006-03-23,5.0,high,split 5->1,4.8539,4.8864,4.8637,1169.8,241.0,239.4
ASHCO,2009-12-08,10.0,medium,split 10->1,9.3462,9.3462,8.3333,12.15,1.3,1.3
ASIANELEC,2007-10-22,2.0,high,split 2->1,2.0168,2.0637,2.0692,714.75,354.4,346.35
ASTRAIDL,2006-06-15,4.5454,low,unsnapped (no simple ratio within tolerance),4.8838,4.5454,4.5373,2974.25,609.0,654.35
ASTRAMICRO,2005-10-07,10.0,medium,split 10->1,9.6025,9.5216,10.7164,2544.65,265.0,267.25
AUSTRAL,2009-08-07,10.0,high,split 10->1,10.0364,9.8024,8.9878,441.6,44.0,45.05
BAGYAMETAL,2005-02-24,5.0,medium,split 5->1,4.7544,4.9528,4.7521,136.45,28.7,27.55
BALRAMCHIN,2005-03-23,10.0,medium,split 10->1,9.7321,10.1679,10.1677,681.25,70.0,67.0
BATLIBOI,2007-09-26,1.9079,low,unsnapped (no simple ratio within tolerance),1.9391,1.8772,1.8572,188.0,96.95,100.15
BHARATFORG,2005-07-20,5.0,medium,split 5->1,4.9095,4.7382,4.7279,1595.1,324.9,336.65
