key,ex_date,factor,confidence,label,r_open,r_close,r_median6,prev_close,open,close
AUTOIETF,2024-03-01,10.0,high,split 10->1,9.8359,9.7527,9.7693,207.44,21.09,21.27
BORORENEW,2020-03-06,4.0,medium,split 4->1,3.9747,3.7874,3.6927,188.8,47.5,49.85
CGPOWER,2016-03-15,3.5,medium,bonus 5:2,2.9302,3.5295,3.1641,155.3,53.0,44.0
COROENGG,2014-01-14,6.0,medium,bonus 5:1,6.2346,6.2346,5.5014,334.8,53.7,53.7
FELDVR,2016-05-11,10.0,medium,split 10->1,9.1384,9.6036,9.4152,132.05,14.45,13.75
HDFCNIFBAN,2024-02-02,10.0,high,split 10->1,9.8018,10.0457,9.9132,468.33,47.78,46.62
HDFCSENSEX,2024-02-02,10.0,medium,split 10->1,9.6354,10.0128,9.9689,790.01,81.99,78.9
KESORAMIND,2025-03-10,20.0,medium,split 100->5,20.0117,21.0834,23.6055,204.72,10.23,9.71
LOWVOLIETF,2024-03-01,10.0,medium,split 10->1,8.4056,9.9354,9.9455,195.43,23.25,19.67
NDLVENTURE,2022-11-22,6.0,medium,bonus 5:1,6.6527,6.3389,5.6095,436.75,65.65,68.9
NIITLTD,2023-06-08,4.0,medium,split 4->1,4.3993,4.1902,4.3745,405.4,92.15,96.75
NV20IETF,2024-03-01,10.0,medium,split 10->1,8.3417,9.8386,9.9024,135.97,16.3,13.82
OCCL,2024-07-01,4.0,medium,split 4->1,4.0693,3.8654,3.5234,809.8,199.0,209.5
ORIENTPPR,2013-03-07,5.0,medium,split 5->1,4.84,5.0947,5.6607,72.6,15.0,14.25
PVTBANIETF,2024-03-01,10.0,high,split 10->1,9.7313,9.7765,9.8467,231.41,23.78,23.67
ROSSELLIND,2024-09-20,3.5,medium,bonus 5:2,3.4575,3.6386,3.7725,621.65,179.8,170.85
SHANKARA,2025-09-24,4.0,medium,split 4->1,3.8843,4.0888,4.4912,990.5,255.0,242.25
SINTEX,2017-05-25,4.0,medium,split 4->1,5.8156,4.0271,4.1291,104.1,17.9,25.85
SUVEN,2020-01-21,20.0,medium,split 100->5,19.8322,18.8997,17.2483,301.45,15.2,15.95
TIL,2024-03-26,3.5,high,bonus 5:2,3.5482,3.5482,3.2161,557.6,157.15,157.15
