key,ex_date,type,factor,source,purpose,observed_move_on_date,expected_move
AURUS,2017-07-12,BONUS,1.4,seed,Bonus 2:5,0.8571,0.7143
BSHSL,2020-08-27,BONUS,1.3333333333333333,seed,BONUS 1:3,0.8915,0.75
DIAPOWER,2013-08-26,BONUS,1.3333333333333333,pr,BONUS 1:3,0.8996,0.75
DVL,2021-08-05,BONUS,1.5,seed,Bonus 1:2,0.9345,0.6667
GOLDIAM,2026-07-10,BONUS,1.3333333333333333,seed,Bonus 1:3,0.8989,0.75
HDFCGOLD,2020-03-26,SPLIT,100.0,pr,FV SPLIT FRM RS 100 TO RS 1,0.9817,0.01
HDFCNIFTY,2020-03-26,SPLIT,10.0,pr,FV SPLIT FRM761.25TO76.125,0.9916,0.1
HDFCSENSEX,2020-03-26,SPLIT,10.000000000000002,pr,FV SPLIT 2503.61TO250.361,1.0271,0.1
KMSUGAR,2010-03-26,SPLIT,5.0,seed,Fv Split Rs.10 To Rs.2,0.3084,0.2
SUNILHITEC,2016-10-27,SPLIT,10.0,pr,FV SPLIT FRM RS 10 TO RE 1,1.0384,0.1
TPHQ,2020-05-21,SPLIT,0.8,ref,eod2 reference: applied factor 0.8 on 2020-05-21,0.9722,1.25
